;Har ej personbil i trafik;Har 1 personbil i trafik;Har 2 personbilar i trafik;Har 3 personbilar i trafik;Har 4-9 personbilar i trafik;Har 10 eller fler personbilar i trafik
2021 Vansbro;3489;2615;552;120;24;-
2023 Malung;5209;3948;848;193;59;1
2026 Gagnef;5466;3924;904;154;50;1
2029 Leksand;8462;6219;1182;198;52;-
2031 Rättvik;5698;4196;915;198;84;1
2034 Orsa;3574;2709;514;107;30;-
2039 Älvdalen;3495;2706;623;142;52;-
2061 Smedjebacken;5713;4234;795;143;37;-
2062 Mora;10769;7899;1601;296;114;-
2080 Falun;35203;20500;3429;516;167;3
2081 Borlänge;31217;17247;3034;506;172;2
2082 Säter;5871;4334;860;160;46;-
2083 Hedemora;8434;5579;1095;244;90;1
2084 Avesta;12765;8294;1511;259;103;-
2085 Ludvika;15316;9097;1555;299;86;-
Total;160681;103501;19418;3535;1166;9
